TIME,ACC4,ACC3,ACC2,ACC1,ROOT
678,9106368,16512,0,0,0
679,9122880,16512,0,0,0
680,9139392,16512,0,0,0
681,9155904,16512,0,0,0
682,9172416,16512,0,0,0
683,9188928,16512,0,0,0
684,9205440,16512,0,0,0
685,9221952,16512,0,0,0
686,9238464,16512,0,0,0
687,9254976,16512,0,0,0
688,9271488,16512,0,0,0
689,9288000,16512,0,0,0
690,9304512,16512,0,0,0
691,9321024,16512,0,0,0
692,9337536,16512,0,0,0
693,9354048,16512,0,0,0
694,9370560,16512,0,0,0
695,9387072,16512,0,0,0
696,9403584,16512,0,0,0
697,9420096,16512,0,0,0
698,9436608,16512,0,0,0
699,9453120,16512,0,0,0
700,9469632,16512,0,0,0
701,9486144,16512,0,0,0
702,9502656,16512,0,0,0
703,9519168,16512,0,0,0
704,9535680,16512,0,0,0
705,9552192,16512,0,0,0
706,9568704,16512,0,0,0
707,9585216,16512,0,0,0
708,9601728,16512,0,0,0
709,9618240,16512,0,0,0
710,9634752,16512,0,0,0
711,9651264,16512,0,0,0
712,9667776,16512,0,0,0
713,9684288,16512,0,0,0
714,9700800,16512,0,0,0
715,9717312,16512,0,0,0
716,9733824,16512,0,0,0
717,9750336,16512,0,0,0
718,9766848,16512,0,0,0
719,9783360,16512,0,0,0
720,9799872,16512,0,0,0
721,9816384,16512,0,0,0
722,9832896,16512,0,0,0
723,9849408,16512,0,0,0
724,9865920,16512,0,0,0
725,9882432,16512,0,0,0
726,9898944,16512,0,0,0
727,9915456,16512,0,0,0
728,9931968,16512,0,0,0
729,9948480,16512,0,0,0
730,9964992,16512,0,0,0
731,9981504,16512,0,0,0
732,9998016,16512,0,0,0
733,10014528,16512,0,0,0
734,10031040,16512,0,0,0
735,10047552,16512,0,0,0
736,10064063,16511,-1,-1,-1
737,10080572,16509,-2,-1,0
738,10097078,16506,-3,-1,0
739,10113580,16502,-4,-1,0
740,10130077,16497,-5,-1,0
741,10146568,16491,-6,-1,0
742,10163052,16484,-7,-1,0
743,10179528,16476,-8,-1,0
744,10195995,16467,-9,-1,0
745,10212452,16457,-10,-1,0
746,10228898,16446,-11,-1,0
747,10245332,16434,-12,-1,0
748,10261753,16421,-13,-1,0
749,10278160,16407,-14,-1,0
750,10294552,16392,-15,-1,0
751,10310928,16376,-16,-1,0
752,10327287,16359,-17,-1,0
753,10343628,16341,-18,-1,0
754,10359950,16322,-19,-1,0
755,10376252,16302,-20,-1,0
756,10392533,16281,-21,-1,0
757,10408792,16259,-22,-1,0
758,10425028,16236,-23,-1,0
759,10441240,16212,-24,-1,0
760,10457427,16187,-25,-1,0
761,10473588,16161,-26,-1,0
762,10489722,16134,-27,-1,0
763,10505828,16106,-28,-1,0
764,10521905,16077,-29,-1,0
765,10537952,16047,-30,-1,0
766,10553968,16016,-31,-1,0
767,10569952,15984,-32,-1,0
768,10585903,15951,-33,-1,0
769,10601820,15917,-34,-1,0
770,10617702,15882,-35,-1,0
771,10633548,15846,-36,-1,0
772,10649357,15809,-37,-1,0
773,10665128,15771,-38,-1,0
774,10680860,15732,-39,-1,0
775,10696552,15692,-40,-1,0
776,10712203,15651,-41,-1,0
777,10727812,15609,-42,-1,0
778,10743378,15566,-43,-1,0
779,10758900,15522,-44,-1,0
780,10774377,15477,-45,-1,0
781,10789808,15431,-46,-1,0
782,10805192,15384,-47,-1,0
783,10820528,15336,-48,-1,0
784,10835815,15287,-49,-1,0
785,10851052,15237,-50,-1,0
786,10866238,15186,-51,-1,0
787,10881372,15134,-52,-1,0
788,10896453,15081,-53,-1,0
789,10911480,15027,-54,-1,0
790,10926452,14972,-55,-1,0
791,10941368,14916,-56,-1,0
792,10956227,14859,-57,-1,0
793,10971028,14801,-58,-1,0
794,10985770,14742,-59,-1,0
795,11000452,14682,-60,-1,0
796,11015073,14621,-61,-1,0
797,11029632,14559,-62,-1,0
798,11044128,14496,-63,-1,0
799,11058560,14432,-64,-1,0
800,11072927,14367,-65,-1,0
801,11087228,14301,-66,-1,0
802,11101462,14234,-67,-1,0
803,11115628,14166,-68,-1,0
804,11129725,14097,-69,-1,0
805,11143752,14027,-70,-1,0
806,11157708,13956,-71,-1,0
807,11171592,13884,-72,-1,0
808,11185403,13811,-73,-1,0
809,11199140,13737,-74,-1,0
810,11212802,13662,-75,-1,0
811,11226388,13586,-76,-1,0
812,11239897,13509,-77,-1,0
813,11253328,13431,-78,-1,0
814,11266680,13352,-79,-1,0
815,11279952,13272,-80,-1,0
816,11293143,13191,-81,-1,0
817,11306252,13109,-82,-1,0
818,11319278,13026,-83,-1,0
819,11332220,12942,-84,-1,0
820,11345077,12857,-85,-1,0
821,11357848,12771,-86,-1,0
822,11370532,12684,-87,-1,0
823,11383128,12596,-88,-1,0
824,11395635,12507,-89,-1,0
825,11408052,12417,-90,-1,0
826,11420378,12326,-91,-1,0
827,11432612,12234,-92,-1,0
828,11444753,12141,-93,-1,0
829,11456800,12047,-94,-1,0
830,11468752,11952,-95,-1,0
831,11480608,11856,-96,-1,0
832,11492367,11759,-97,-1,0
833,11504028,11661,-98,-1,0
834,11515590,11562,-99,-1,0
835,11527052,11462,-100,-1,0
836,11538413,11361,-101,-1,0
837,11549672,11259,-102,-1,0
838,11560828,11156,-103,-1,0
839,11571880,11052,-104,-1,0
840,11582827,10947,-105,-1,0
841,11593668,10841,-106,-1,0
842,11604402,10734,-107,-1,0
843,11615028,10626,-108,-1,0
844,11625545,10517,-109,-1,0
845,11635952,10407,-110,-1,0
846,11646248,10296,-111,-1,0
847,11656432,10184,-112,-1,0
